[ms, ppb]
5430138,20
5435138,20
5440138,20
5445138,20
5450138,20
5455138,20
5460138,20
5465138,20
5470138,20
5475138,20
5480138,20
5485138,20
5490138,20
5495138,20
5500138,20
5505138,20
5510138,20
5515138,20
5520138,22
5525138,25
5530138,28
5535138,29
5540138,29
5545138,29
5550138,29
5555138,29
5560138,29
5565138,29
5570138,29
5575138,29
5580138,29
5585138,29
5590138,29
5595138,29
5600138,29
5605138,29
5610138,29
5615138,29
5620138,27
5625138,24
5630138,21
5635138,20
5640138,20
5645138,20
5650138,20
5655138,20
5660138,20
5665138,20
5670138,20
5675138,20
5680138,20
5685138,21
5690138,23
5695138,25
5700138,26
5705138,26
5710138,26
5715138,26
5720138,26
5725138,26
5730138,26
5735138,26
5740138,26
5745138,26
5750138,26
5755138,26
5760138,26
5765138,26
5770138,26
5775138,26
5780138,26
5785138,25
5790138,22
5795138,21
5800138,20
5805138,20
5810138,20
5815138,20
5820138,20
5825138,20
5830138,20
5835138,20
5840138,20
5845138,20
5850138,20
5855138,20
5860138,20
5865138,20
5870138,20
5875138,20
5880138,20
5885138,20
5890138,20
5895138,21
5900138,22
5905138,23
5910138,25
5915138,27
5920138,31
5925138,35
5930138,38
5935138,40
5940138,42
5945138,45
5950138,49
5955138,52
5960138,54
5965138,56
5970138,57
5975138,59
5980138,61
5985138,63
5990138,65
5995138,65
6000138,65
6005138,65
6010138,63
6015138,61
6020138,57
6025138,53
6030138,50
6035138,48
6040138,46
6045138,43
6050138,39
6055138,36
6060138,34
6065138,32
6070138,31
6075138,29
6080138,27
6085138,25
6090138,22
6095138,21
6100138,20
6105138,20
6110138,20
6115138,21
6120138,21
6125138,21
6130138,21
6135138,21
6140138,21
6145138,22
6150138,23
6155138,25
6160138,25
6165138,25
6170138,25
6175138,25
6180138,25
6185138,25
6190138,25
6195138,25
6200138,25
6205138,25
6210138,24
6215138,23
6220138,24
6225138,25
6230138,27
6235138,27
6240138,27
6245138,27
6250138,26
6255138,24
6260138,24
6265138,24
6270138,24
6275138,24
6280138,24
6285138,24
6290138,24
6295138,25
6300138,25
6305138,26
6310138,27
6315138,27
6320138,26
6325138,26
6330138,26
6335138,27
6340138,28
6345138,28
6350138,29
6355138,30
6360138,33
6365138,36
6370138,39
6375138,43
6380138,48
6385138,51
6390138,54
6395138,55
6400138,57
6405138,58
6410138,58
6415138,58
6420138,58
6425138,57
6430138,56
6435138,55
6440138,55
6445138,58
6450138,61
6455138,64
6460138,65
6465138,64
6470138,61
6475138,57
6480138,54
6485138,53
6490138,52
6495138,53
6500138,54
6505138,55
6510138,57
6515138,59
6520138,61
6525138,61
6530138,62
6535138,62
6540138,62
6545138,60
6550138,57
6555138,54
6560138,50
6565138,49
6570138,50
6575138,51
6580138,51
6585138,49
6590138,47
6595138,45
6600138,44
6605138,41
6610138,38
6615138,36
6620138,34
6625138,33
6630138,33
6635138,32
6640138,32
6645138,31
6650138,31
6655138,32
6660138,39
6665138,61
6670138,89
6675138,108
6680138,120
6685138,126
6690138,126
6695138,125
6700138,125
6705138,124
6710138,124
6715138,124
6720138,124
6725138,124
6730138,124
6735138,124
6740138,123
6745138,121
6750138,120
6755138,119
6760138,112
6765138,90
6770138,60
6775138,40
6780138,26
6785138,20
6790138,20
6795138,20
6800138,20
6805138,20
6810138,20
6815138,20
6820138,20
6825138,20
6830138,20
6835138,20
6840138,20
6845138,20
6850138,20
6855138,20
6860138,20
6865138,20
6870138,20
6875138,20
6880138,20
6885138,20
6890138,20
6895138,20
6900138,20
6905138,20
6910138,20
6915138,21
6920138,21
6925138,21
6930138,21
6935138,21
6940138,21
6945138,21
6950138,21
6955138,22
6960138,25
6965138,29
6970138,32
6975138,36
6980138,38
6985138,41
6990138,43
6995138,44
7000138,45
7005138,46
7010138,46
7015138,45
7020138,44
7025138,44
7030138,44
7035138,44
7040138,44
7045138,44
7050138,44
7055138,43
7060138,41
7065138,37
7070138,33
7075138,30
7080138,27
7085138,25
7090138,23
7095138,21
7100138,20
7105138,20
7110138,21
7115138,22
7120138,23
7125138,23
7130138,23
7135138,24
7140138,25
7145138,26
7150138,28
7155138,32
7160138,35
7165138,35
7170138,35
7175138,35
7180138,35
7185138,35
7190138,35
7195138,35
7200138,36
7205138,38
7210138,40
7215138,42
7220138,46
7225138,51
7230138,57
7235138,61
7240138,64
7245138,69
7250138,73
7255138,74
7260138,77
7265138,84
7270138,91
7275138,99
7280138,105
7285138,108
7290138,111
7295138,116
7300138,122
7305138,125
7310138,126
7315138,125
7320138,123
7325138,118
7330138,113
7335138,108
7340138,104
7345138,98
7350138,92
7355138,87
7360138,81
7365138,75
7370138,68
7375138,60
7380138,57
7385138,61
7390138,69
7395138,81
7400138,94
7405138,108
7410138,124
7415138,137
7420138,147
7425138,156
7430138,166
7435138,175
7440138,182
7445138,187
7450138,192
7455138,196
7460138,200
7465138,207
7470138,214
7475138,220
7480138,223
7485138,220
7490138,212
7495138,200
7500138,185
7505138,173
7510138,164
7515138,159
7520138,157
7525138,157
7530138,157
7535138,157
7540138,159
7545138,163
7550138,166
7555138,170
7560138,173
7565138,178
7570138,186
7575138,194
7580138,198
7585138,200
7590138,201
7595138,204
7600138,209
7605138,213
7610138,212
7615138,208
7620138,202
7625138,196
7630138,190
7635138,185
7640138,184
7645138,187
7650138,192
7655138,200
7660138,207
7665138,207
7670138,201
7675138,199
7680138,201
7685138,200
7690138,199
7695138,195
7700138,187
7705138,176
7710138,165
7715138,158
7720138,153
7725138,150
7730138,148
7735138,145
7740138,140
7745138,134
7750138,126
7755138,116
7760138,104
7765138,95
7770138,88
7775138,80
7780138,75
7785138,76
7790138,82
7795138,91
7800138,102
7805138,119
7810138,139
7815138,157
7820138,174
7825138,189
7830138,202
7835138,211
7840138,216
7845138,215
7850138,212
7855138,209
7860138,209
7865138,212
7870138,215
7875138,217
7880138,218
7885138,218
7890138,216
7895138,212
7900138,208
7905138,198
7910138,187
7915138,177
7920138,167
7925138,156
7930138,144
7935138,136
7940138,134
7945138,139
7950138,149
7955138,157
7960138,161
7965138,164
7970138,166
7975138,170
7980138,174
7985138,176
7990138,176
7995138,174
8000138,170
8005138,170
8010138,173
8015138,176
8020138,180
8025138,188
8030138,197
8035138,205
8040138,209
8045139,209
8050139,207
8055139,208
8060139,213
8065139,215
8070139,216
8075139,213
8080139,209
8085139,204
8090139,202
8095139,203
8100139,205
8105139,202
8110139,195
8115139,186
8120139,177
8125139,174
8130139,172
8135139,163
8140139,152
8145139,143
8150139,133
8155139,121
8160139,109
8165139,98
8170139,89
8175139,82
8180139,77
8185139,72
8190139,67
8195139,60
8200139,53
8205139,47
8210139,43
8215139,41
8220139,38
8225139,31
8230139,22
8235139,20
8240139,20
8245139,20
8250139,23
8255139,27
8260139,31
8265139,38
8270139,47
8275139,56
8280139,65
8285139,71
8290139,78
8295139,85
8300139,92
8305139,99
8310139,106
8315139,114
8320139,122
8325139,131
8330139,139
8335139,144
8340139,149
8345139,156
8350139,161
8355139,164
8360139,166
8365139,162
8370139,155
8375139,145
8380139,137
8385139,131
8390139,125
8395139,118
8400139,111
8405139,104
8410139,99
8415139,99
8420139,101
8425139,102
8430139,100
8435139,98
8440139,97
8445139,95
8450139,91
8455139,85
8460139,79
8465139,76
8470139,75
8475139,74
8480139,74
8485139,74
8490139,75
8495139,77
8500139,80
8505139,83
8510139,83
8515139,78
8520139,68
8525139,62
8530139,58
8535139,56
8540139,53
8545139,50
8550139,50
8555139,53
8560139,57
8565139,59
8570139,59
8575139,59
8580139,59
8585139,58
8590139,56
8595139,55
8600139,55
8605139,55
8610139,56
8615139,58
8620139,61
8625139,62
8630139,61
8635139,60
8640139,61
8645139,65
8650139,73
8655139,81
8660139,90
8665139,101
8670139,113
8675139,125
8680139,134
8685139,140
8690139,143
8695139,147
8700139,157
8705139,165
8710139,164
8715139,161
8720139,157
8725139,152
8730139,150
8735139,150
8740139,149
8745139,147
8750139,145
8755139,143
8760139,139
8765139,129
8770139,117
8775139,106
8780139,97
8785139,93
8790139,91
8795139,85
8800139,74
8805139,64
8810139,65
8815139,68
8820139,69
8825139,71
8830139,74
8835139,76
8840139,79
8845139,77
8850139,68
8855139,57
8860139,49
8865139,46
8870139,51
8875139,62
8880139,72
8885139,79
8890139,85
8895139,92
8900139,94
8905139,92
8910139,89
8915139,86
8920139,85
8925139,83
8930139,80
8935139,81
8940139,82
8945139,80
8950139,79
8955139,79
8960139,79
8965139,79
8970139,74
8975139,63
8980139,52
8985139,44
8990139,37
8995139,30
9000139,27
9005139,27
9010139,27
9015139,27
9020139,27
9025139,27
9030139,27
9035139,24
9040139,20
9045139,20
9050139,20
9055139,20
9060139,20
9065139,20
9070139,20
9075139,20
9080139,20
9085139,20
9090139,20
9095139,20
9100139,20
9105139,20
9110139,20
9115139,20
9120139,20
9125139,20
9130139,20
9135139,20
9140139,20
9145139,20
9150139,20
9155139,20
9160139,20
9165139,20
9170139,20
9175139,20
9180139,20
9185139,20
9190139,20
9195139,20
9200139,20
9205139,20
9210139,20
9215139,20
9220139,20
9225139,20
9230139,20
9235139,20
9240139,20
9245139,20
9250139,20
9255139,20
9260139,20
9265139,20
9270139,20
9275139,20
9280139,20
9285139,20
9290139,20
9295139,20
9300139,20
9305139,20
9310139,20
9315139,20
9320139,20
9325139,20
9330139,20
9335139,20
9340139,20
9345139,20
9350139,20
9355139,20
9360139,20
9365139,20
9370139,20
9375139,20
9380139,20
9385139,20
9390139,20
9395139,20
9400139,20
9405139,20
9410139,20
9415139,20
9420139,20
9425139,20
9430139,20
9435139,20
9440139,20
9445139,20
9450139,20
9455139,20
9460139,20
9465139,20
9470139,20
9475139,20
9480139,20
9485139,20
9490139,20
9495139,20
9500139,20
9505139,20
9510139,20
9515139,20
9520139,20
9525139,20
9530139,20
9535139,20
9540139,20
9545139,20
9550139,20
9555139,20
9560139,20
9565139,20
9570140,20
9575140,20
9580140,20
9585140,20
9590140,20
9595140,20
9600140,20
9605140,20
9610140,20
9615140,20
9620140,20
9625140,20
9630140,20
9635140,20
9640140,20
9645140,20
9650140,20
9655140,20
9660140,20
9665140,20
9670140,20
9675140,20
9680140,20
9685140,20
9690140,20
9695140,20
9700140,20
9705140,20
9710140,20
9715140,20
9720140,20
9725140,20
9730140,20
9735140,20
9740140,20
9745140,20
9750140,20
9755140,20
9760140,20
9765140,20
9770140,20
9775140,20
9780140,20
9785140,20
9790140,20
9795140,20
9800140,20
9805140,20
9810140,20
9815140,20
9820140,20
9825140,20
9830140,20
9835140,20
9840140,20
9845140,20
9850140,20
9855140,20
9860140,20
9865140,20
9870140,20
9875140,20
9880140,20
9885140,20
9890140,20
9895140,20
9900140,20
9905140,20
9910140,20
9915140,20
9920140,20
9925140,20
9930140,20
9935140,20
9940140,20
9945140,20
9950140,20
9955140,20
9960140,20
9965140,20
9970140,20
9975140,20
9980140,20
9985140,20
9990140,20
9995140,20
10000140,20
10005140,20
10010140,20
10015140,20
10020140,20
10025140,20
10030140,20
10035140,20
10040140,20
10045140,20
10050140,20
10055140,20
10060140,20
10065140,20
10070140,20
10075140,20
10080140,20
10085140,20
10090140,20
10095140,20
10100140,20
10105140,20
10110140,20
10115140,20
10120140,20
10125140,20
10130140,20
10135140,20
10140140,20
10145140,20
10150140,20
10155140,20
10160140,20
10165140,20
10170140,20
10175140,20
10180140,20
10185140,20
10190140,20
10195140,20
10200140,20
10205140,20
10210140,20
10215140,20
10220140,20
10225140,20
10230140,20
10235140,20
10240140,20
10245140,20
10250140,20
10255140,20
10260140,20
10265140,20
10270140,20
10275140,20
10280140,20
10285140,20
10290140,20
10295140,20
10300140,20
10305140,20
10310140,20
10315140,20
10320140,20
10325140,20
10330140,20
10335140,20
10340140,20
10345140,20
10350140,20
10355140,20
10360140,20
10365140,20
10370140,20
